name,type,date,all_access,conference
"",main,"",All Access<br/>(3 days),Day Tickets<br/>(1 day)
Early Bird (limited),main,All these tickets have gone already...,Sold Out!,–
Early Worm (timed),main,Available in batches of 25 tickets until price increases.,from € 540,from € 256
